MSSubClass,MSZoning,Neighborhood,OverallQual,YearRemodAdd,RoofStyle,BsmtQual,BsmtExposure,HeatingQC,CentralAir,1stFlrSF,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,PavedDrive,SaleCondition
60,3,14,7,5,0,3,1,4,1,6.752270376141742,7.444248649496705,1,2,0,1,4,2,2,2,3
20,3,11,6,31,0,3,4,4,1,7.140453043101158,7.140453043101158,0,1,1,3,4,2,2,2,3
60,3,14,7,6,0,3,2,4,1,6.824373670043086,7.487733761436444,1,2,1,3,4,2,2,2,3
70,3,16,7,36,0,2,1,3,1,6.8679744089702925,7.448333860897476,1,2,1,4,2,1,3,2,0
60,3,22,8,8,0,3,3,4,1,7.0431599159883405,7.6953031349635665,1,2,1,3,4,2,3,2,3
50,3,9,5,14,0,3,1,4,1,6.679599185844383,7.216709486709457,1,1,0,1,4,1,2,2,3
20,3,18,8,2,0,4,3,4,1,7.434847875211999,7.434847875211999,1,2,1,4,4,2,2,2,3
60,3,12,7,36,0,3,2,4,1,7.009408932708637,7.644919344958857,1,1,2,3,4,2,2,2,3
50,1,4,7,58,0,2,1,3,1,6.92951677076365,7.480992162869525,0,1,2,3,2,1,2,2,0
190,3,3,5,58,0,2,1,4,1,6.981934677156389,6.981934677156389,1,1,2,3,4,2,1,2,3
20,3,6,5,43,2,2,1,4,1,6.946975992135418,6.946975992135418,1,1,0,1,2,1,1,2,3
60,3,21,9,0,2,4,1,4,1,7.074963197966044,7.751045117971802,1,3,2,4,5,3,3,2,4
20,3,6,5,46,2,2,1,2,1,6.815639990074331,6.815639990074331,1,1,0,1,2,1,1,2,3
20,3,14,7,0,0,3,3,4,1,7.309212365692763,7.309212365692763,0,2,1,4,4,2,3,2,4
20,3,8,6,48,2,2,1,2,1,7.133295954896068,7.133295954896068,1,1,1,2,4,2,1,2,3
45,1,3,7,6,0,2,1,4,1,6.74993119378857,6.74993119378857,0,1,0,1,2,1,2,2,3
20,3,8,6,40,0,2,1,4,1,6.911747300251674,6.911747300251674,1,1,1,3,4,3,2,2,3
90,3,6,4,39,0,0,0,2,1,7.16703787691222,7.16703787691222,0,1,0,1,1,1,2,2,3
20,3,10,5,4,0,2,1,4,1,7.01571242048723,7.01571242048723,1,2,0,1,2,1,2,2,3
20,3,8,5,44,2,2,1,2,1,7.199678345691172,7.199678345691172,0,1,0,1,4,1,1,2,0
60,3,21,8,0,0,4,3,4,1,7.05444965813294,7.773173680482536,0,2,1,4,5,2,3,2,4
45,1,0,7,57,0,2,1,4,1,7.010311867307229,7.010311867307229,0,2,1,4,4,1,1,0,3
20,3,14,8,6,2,3,1,4,1,7.492760300922379,7.492760300922379,0,2,1,4,4,2,2,2,3
120,1,1,5,31,0,3,1,2,1,6.966024187106113,6.966024187106113,1,1,1,3,4,1,2,2,3
20,3,6,5,9,0,2,2,4,1,6.966024187106113,6.966024187106113,1,2,1,3,4,1,1,2,3
20,3,21,8,2,0,3,1,4,1,7.3777589082278725,7.3777589082278725,0,2,1,4,4,2,3,2,3
20,3,8,5,10,0,2,2,2,1,6.802394763324311,6.802394763324311,0,2,0,1,2,1,2,2,3
20,3,21,8,2,0,4,1,4,1,7.440733707389261,7.440733707389261,1,2,1,4,4,2,3,2,3
20,3,8,5,9,0,2,4,2,1,7.3777589082278725,7.3777589082278725,1,1,2,4,4,2,1,2,3
30,1,3,4,58,0,2,1,1,0,6.253828811575473,6.253828811575473,0,0,0,1,2,1,1,2,3
70,0,0,4,58,1,2,1,2,0,6.47543271670409,7.183111701743281,0,1,0,1,2,1,1,0,3
20,3,6,5,2,0,2,1,3,1,7.113142108707088,7.113142108707088,0,2,0,1,4,1,1,2,3
20,3,14,8,1,0,4,3,4,1,7.1180162044653335,7.1180162044653335,0,2,0,1,4,2,2,2,3
20,3,8,5,51,2,2,1,3,1,7.438383530044307,7.438383530044307,0,2,1,4,4,2,2,2,3
120,3,21,9,2,2,4,1,4,1,7.353081920515432,7.353081920515432,1,3,1,4,4,3,2,2,3
60,3,21,8,1,0,4,3,4,1,7.0317412587631285,7.804659297056102,0,2,1,4,5,3,3,2,3
20,3,14,5,14,0,3,1,4,1,7.00033446027523,7.00033446027523,0,1,0,1,4,1,2,2,3
20,3,8,5,19,2,2,1,3,1,7.167809184316444,7.167809184316444,0,1,1,3,4,3,2,2,3
20,3,8,5,3,0,2,1,2,1,6.963189985870238,6.963189985870238,1,2,0,1,2,1,1,2,0
90,3,5,4,53,0,0,0,2,0,7.049254841255837,7.049254841255837,0,0,0,1,0,0,0,0,1
20,3,8,6,41,0,2,1,4,1,7.188412736496954,7.188412736496954,0,1,1,3,4,2,2,2,0
20,3,19,5,48,0,2,4,3,1,7.191429330036379,7.191429330036379,0,1,2,4,4,2,1,1,3
85,3,10,5,24,0,3,3,3,1,6.784457062637643,6.784457062637643,1,2,0,1,4,2,2,2,3
20,3,14,5,28,2,3,3,2,1,6.843749949006225,6.843749949006225,1,1,0,1,2,1,1,2,3
20,3,8,5,47,0,2,1,4,1,7.047517221357296,7.047517221357296,1,1,0,1,4,2,1,2,3
120,3,21,9,5,2,4,1,4,1,7.468513271496337,7.468513271496337,1,3,1,4,4,2,2,2,3
50,3,9,7,6,0,4,1,4,1,7.325148957955575,7.67275789664251,1,2,1,5,4,2,2,2,0
20,4,18,8,1,0,3,3,4,1,7.412160334945205,7.412160334945205,0,2,0,1,4,2,3,2,3
190,1,4,4,1,0,2,1,3,1,6.601230118728877,7.280697195384741,0,1,0,1,0,0,0,0,4
20,3,6,5,41,0,2,1,4,1,6.86171134048073,6.86171134048073,1,1,0,1,4,1,1,2,3
60,3,13,6,10,0,3,3,3,1,6.677083461247136,7.293017679772782,0,1,0,1,4,3,2,2,3
50,1,3,6,56,0,2,1,2,1,6.704414354964107,7.069874128458572,0,1,1,4,2,1,2,2,3
90,1,0,5,47,0,3,4,2,0,6.704414354964107,6.704414354964107,1,1,0,1,1,1,2,2,3
20,3,11,9,19,0,4,4,3,1,7.518607216815252,7.518607216815252,2,2,1,4,4,3,3,2,3
80,3,8,5,52,0,2,1,2,1,7.215239978730097,7.215239978730097,0,1,1,3,2,1,2,2,3
20,3,8,6,44,0,2,1,3,1,7.261927092702751,7.261927092702751,0,1,1,4,4,2,2,2,3
